user_influence,network,metric_type,metric_value,readability,multimedia_presence,reach,longevity
0.1078,1,1,0.0018,88.74,0,447,4
0.1124,1,1,0.0023,32.22,0,735,2
0.1125,1,1,0.0023,53.21,1,601,1
0.1127,1,1,0.0021,83.66,0,637,3
0.0799,1,1,0.0102,67.08,0,4643,1
0.1125,1,1,0.0016,58.62,0,280,3
0.1698,1,1,0.0028,76.72,0,44024,15
0.1026,1,1,0.0053,51.34,0,212374,3
0.1124,1,1,0.0030,14.97,1,289,1
0.1698,1,1,0.0018,76.72,0,43943,15
0.1125,1,1,0.0039,59.8,0,1051,3
0.1130,1,1,0.0018,84.68,0,2060,6
0.0883,1,1,0.0023,66.07,0,9729,4
0.1533,1,1,0.0037,76.72,0,383648,15
0.1140,1,1,0.0023,47.12,0,9298,8
0.1125,1,1,0.0016,25.8,0,1211,1
0.1136,1,1,0.0023,88.43,0,3765,12
0.0988,1,1,0.0217,72.5,0,2764,1
0.1083,1,1,0.0025,34.26,0,258809,2
0.1105,1,1,0.0025,65.73,0,685,1
0.1153,1,1,0.0016,44.91,0,7164,5
0.1110,1,1,0.0039,53.88,0,2611,1
0.1102,1,1,0.0018,40.35,0,2391,4
0.1125,1,1,0.0016,36.96,0,228,3
0.1018,1,1,0.0016,95.88,0,7553,3
0.1151,1,1,0.0016,26.81,0,3183,5
0.1489,1,1,0.0018,59.8,0,59288,11
0.1130,1,1,0.0021,46.1,0,781,4
0.1124,1,1,0.0042,16.32,0,871,1
0.1706,1,1,0.0016,76.72,0,43791,15
0.1128,1,1,0.0016,51.34,0,4671,3
0.1117,1,1,0.0042,63.02,0,495,1
0.1698,1,1,0.0016,76.72,0,43374,15
0.1706,1,1,0.0058,76.72,0,44261,15
0.1159,1,1,0.0032,71.82,0,3779,9
0.1125,1,1,0.0021,48.13,0,2089,1
0.1118,1,1,0.0018,76.72,0,52150,15
0.1127,1,1,0.0016,80.28,0,479,3
0.1256,1,1,0.0016,75.2,0,13805,15
0.1049,1,1,0.0016,88.43,0,1700,12
0.1105,1,1,0.0016,29.01,1,8796,7
0.1129,1,1,0.0018,68.44,0,6436,9
0.1159,1,1,0.0018,71.82,0,3489,9
0.1125,1,1,0.0030,81.29,0,2232,2
0.0789,1,1,0.0028,77.74,0,29946,5
0.1125,1,1,0.0016,50.16,0,1339,2
0.0978,1,1,0.0021,68.26,0,37804,5
0.1686,1,1,0.0042,76.72,0,44018,15
0.1144,1,1,0.0018,88.43,0,2460,11
0.1706,1,1,0.0025,76.72,0,43875,15
0.1082,1,1,0.0018,84.17,0,1041,5
0.1146,1,1,0.0028,85.18,0,2413,15
0.1145,1,1,0.0016,85.18,0,2590,15
0.0999,1,1,0.0042,68.26,0,1358,5
0.1124,1,1,0.0042,33.24,1,668,1
0.1658,1,1,0.0023,76.72,0,45968,15
0.1035,1,1,0.0018,59.8,0,1279,1
0.1124,1,1,0.0016,57.61,0,331,4
0.1149,1,1,0.0018,34.26,0,4597,4
0.1128,1,1,0.0039,40.35,0,463,4
0.0929,1,1,0.0025,49.15,0,19722,4
0.1124,1,1,0.0016,32.9,1,91,2
0.0985,1,1,0.0016,64.04,0,16337,2
0.1157,1,1,0.0025,67.25,0,4359,7
0.1125,1,1,0.0076,70.47,0,811,2
0.0967,1,1,0.0018,60.82,1,31765,1
0.1009,1,1,0.0016,55.4,1,578,2
0.1133,1,1,0.0072,68.26,0,4862,10
0.0965,1,1,0.0021,61.33,0,35509,1
0.1150,1,1,0.0018,26.81,0,2639,5
0.1129,1,1,0.0016,71.31,1,594,3
